mixture_path,source_1_path,length
/Users/willwedgwood/Documents/Git/Speech_Separation/asteroid/Datasets/Mixed_Datasets/Mix_Output_Small_8k_Test/84-121550-0031_snr18.0.wav,/Users/willwedgwood/Documents/Git/Speech_Separation/asteroid/Datasets/Clean_Datasets/LibriSpeech_Datasets/LibriSpeech_Small_8k/84-121550-0031.flac,69240
/Users/willwedgwood/Documents/Git/Speech_Separation/asteroid/Datasets/Mixed_Datasets/Mix_Output_Small_8k_Test/84-121550-0027_snr11.2.wav,/Users/willwedgwood/Documents/Git/Speech_Separation/asteroid/Datasets/Clean_Datasets/LibriSpeech_Datasets/LibriSpeech_Small_8k/84-121550-0027.flac,31960
/Users/willwedgwood/Documents/Git/Speech_Separation/asteroid/Datasets/Mixed_Datasets/Mix_Output_Small_8k_Test/84-121123-0026_snr23.9.wav,/Users/willwedgwood/Documents/Git/Speech_Separation/asteroid/Datasets/Clean_Datasets/LibriSpeech_Datasets/LibriSpeech_Small_8k/84-121123-0026.flac,111520
/Users/willwedgwood/Documents/Git/Speech_Separation/asteroid/Datasets/Mixed_Datasets/Mix_Output_Small_8k_Test/84-121550-0007_snr15.2.wav,/Users/willwedgwood/Documents/Git/Speech_Separation/asteroid/Datasets/Clean_Datasets/LibriSpeech_Datasets/LibriSpeech_Small_8k/84-121550-0007.flac,76200
/Users/willwedgwood/Documents/Git/Speech_Separation/asteroid/Datasets/Mixed_Datasets/Mix_Output_Small_8k_Test/84-121123-0006_snr13.2.wav,/Users/willwedgwood/Documents/Git/Speech_Separation/asteroid/Datasets/Clean_Datasets/LibriSpeech_Datasets/LibriSpeech_Small_8k/84-121123-0006.flac,44960
/Users/willwedgwood/Documents/Git/Speech_Separation/asteroid/Datasets/Mixed_Datasets/Mix_Output_Small_8k_Test/84-121123-0010_snr12.3.wav,/Users/willwedgwood/Documents/Git/Speech_Separation/asteroid/Datasets/Clean_Datasets/LibriSpeech_Datasets/LibriSpeech_Small_8k/84-121123-0010.flac,57520
/Users/willwedgwood/Documents/Git/Speech_Separation/asteroid/Datasets/Mixed_Datasets/Mix_Output_Small_8k_Test/84-121550-0011_snr28.5.wav,/Users/willwedgwood/Documents/Git/Speech_Separation/asteroid/Datasets/Clean_Datasets/LibriSpeech_Datasets/LibriSpeech_Small_8k/84-121550-0011.flac,74840
/Users/willwedgwood/Documents/Git/Speech_Separation/asteroid/Datasets/Mixed_Datasets/Mix_Output_Small_8k_Test/84-121550-0010_snr29.9.wav,/Users/willwedgwood/Documents/Git/Speech_Separation/asteroid/Datasets/Clean_Datasets/LibriSpeech_Datasets/LibriSpeech_Small_8k/84-121550-0010.flac,66640
/Users/willwedgwood/Documents/Git/Speech_Separation/asteroid/Datasets/Mixed_Datasets/Mix_Output_Small_8k_Test/84-121123-0011_snr10.7.wav,/Users/willwedgwood/Documents/Git/Speech_Separation/asteroid/Datasets/Clean_Datasets/LibriSpeech_Datasets/LibriSpeech_Small_8k/84-121123-0011.flac,26000
/Users/willwedgwood/Documents/Git/Speech_Separation/asteroid/Datasets/Mixed_Datasets/Mix_Output_Small_8k_Test/84-121123-0007_snr18.8.wav,/Users/willwedgwood/Documents/Git/Speech_Separation/asteroid/Datasets/Clean_Datasets/LibriSpeech_Datasets/LibriSpeech_Small_8k/84-121123-0007.flac,16000
